,Name, Price ,About,Rating,Status,Link to Product
0,Suntory Torys Classic, £30.45 ,"Suntory Torys Classic is a light and easy-drinking Japanese spirit. Due to being below 40% abv, this cannot be called a whisky in the EU, but is still made from a blend of malt and grain.",3.5, In Stock,https://www.thewhiskyexchange.com/p/37325/suntory-torys-classic
1,Suntory Toki, £31.95 ,"Toki is a blended whisky from Suntory's three distilleries: Yamazaki, Hakushu and Chita. This is a round and sweet blend with a refreshing citrus character and a spicy finish.",4, In Stock,https://www.thewhiskyexchange.com/p/36362/suntory-toki
2,Nikka Coffey Grain Whisky, £56.95 ,"A release of grain whisky from Japan's Nikka, produced mainly from corn using one of their continuous Coffey stills. Rather than the rare and limited releases they have done before, this is a larger release to further show off this key component in the Nikka family of whiskies.",4.5, In Stock,https://www.thewhiskyexchange.com/p/23928/nikka-coffey-grain-whisky
3,Hakushu Distiller's Reserve, £66.95 ,"A green and crunchy entry in the Hakushu Range, combining whisky of a wide variety of ages, from across the range of casks used by the distillery to create a gently smoky dram, packed with fruity flavour.",4.5, In Stock,https://www.thewhiskyexchange.com/p/23771/hakushu-distillers-reserve
4,Akashi Single Malt Whisky, £73.75 ,"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Producing using lightly peated barley and aged in three different types of cask, this is the brand's flagship malt.",5, In Stock,https://www.thewhiskyexchange.com/p/31531/akashi-single-malt-whisky
5,Miyagikyo Single Malt, £75.95 ,"Nikka's entry-level whisky from Miyagikyo distillery. Light in body, yet full of flavour, this is an excellent introduction to Japanese whisky. Elegantly fruity with sherry-cask character.",4.5, In Stock,https://www.thewhiskyexchange.com/p/32762/miyagikyo-single-malt
6,Yoichi Single Malt, £75.95 ,"Relaunched in 2016, this comes from Nikka's excellent Yoichi distillery. This is a blend of single malts from different years and consequently does not carry an age statement. This is a smoky whisky with a maritime character.",4.5, In Stock,https://www.thewhiskyexchange.com/p/32761/yoichi-single-malt
7,Kaiyo Peated Mizunara Oak, £99.95 ,"A fruity, zesty and softly-smoky Japanese whisky, matured in mizunara oak casks. Aromas of orange peel, jasmine, soft cedar and coastal air fill the nose. The palate offers notes of earthy coffee, green apples, black tea and fresh herbs, with hints of cinnamon pastries and mango that linger in the finish.",, In Stock,https://www.thewhiskyexchange.com/p/52590/kaiyo-peated-mizunara-oak
8,Kaiyo Mizunara Oak Cask Strength, £110 ,"This is cask-strength edition of Kaiyo's Mizunara matured whisky. It's a rare beast, as there's not much Mizunara – Japanese oak – and only a tiny amount gets turned into whisky casks. It's worth the effort, as it adds a distinctly Japanese edge to the whisky, layering on incense-laden spiciness. Kaiyo go even further, shipping their casks out to sea for months before bottling to give them a gentle rock on the waves, getting even more flavour out of the wood.",5, In Stock,https://www.thewhiskyexchange.com/p/45367/kaiyo-mizunara-oak-cask-strength
9,Akashi 5 Year OldSherry Cask Half Litre, £150 ,"Akashi Single Malt Whisky is made at the White Oak distillery in the Hyogo prefecture. Matured for two years in sherry butts and three years in hogsheads, this is a lightly peated Japanese whisky.",5, In Stock,https://www.thewhiskyexchange.com/p/34461/akashi-5-year-old-sherry-cask-half-litre
